"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Hypericum","Polygonaceae undiff.","Scrophulariaceae","Pistacia","Rutaceae","Amaranthaceae","Potamogeton","Dipsacoideae","Phillyrea","Caryophyllaceae","Apiaceae","Euphorbiaceae","Sphagnum","Ranunculaceae","Plantaginaceae","Osmunda","Rumex","Lamiaceae","Pinus","Brassicaceae","Asteraceae undiff.","Platanus","Cistaceae","Fabaceae","Olea","Pteridium","Cichorieae","Arbutus","Sarcopoterium","Quercus undiff.","Unknown (monolete) undiff.","Poaceae undiff.","Quercus coccifera-type","Ericaceae undiff.","Cyperaceae","Pteridophyta undiff.","Artemisia","Ephedra","Cupressaceae","Boraginaceae","Rosaceae undiff.","Acer","Abies","Liliaceae","Ostrya","Salix","Alnus","Corylus","Malvaceae","Poaceae (>40 µm)","Castanea","Urtica","Caprifoliaceae","Fagus","Juglans","Typhaceae","Betula","Hedera","Unknown (trilete) undiff.","Polypodium","Morus","Ulmus","Sorbus-type","Rubiaceae","Rhamnaceae","Carpinus"
-39,NA,NA,0,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,6,7,8,10,11,11,12,12,16,18,18,25,26,44,70,114,136,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,5,3,4,NA,3,NA,5,NA,NA,2,2,8,2,6,9,NA,3,4,23,4,8,9,2,7,27,16,17,16,10,37,46,20,23,86,96,117,163,1,2,3,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8,NA,NA,10,NA,2,NA,2,NA,1,NA,NA,2,NA,7,NA,3,NA,NA,NA,9,11,5,7,7,4,5,19,8,7,13,16,47,41,9,32,155,64,99,118,NA,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,15,2,NA,NA,1,NA,2,NA,1,NA,1,NA,NA,15,NA,2,2,2,4,8,13,6,2,5,5,24,18,9,6,29,50,14,28,121,166,101,150,NA,NA,NA,NA,1,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,20,NA,NA,NA,1,NA,5,NA,NA,2,1,8,NA,NA,NA,NA,1,NA,1,2,4,2,2,9,17,NA,11,1,28,7,22,4,14,143,174,83,99,NA,NA,NA,NA,1,1,NA,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,25,NA,1,NA,NA,NA,4,NA,NA,NA,2,2,NA,19,NA,NA,57,1,10,4,7,14,1,NA,9,15,4,5,7,18,28,21,22,64,197,77,178,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,30,NA,NA,NA,NA,NA,2,NA,NA,NA,4,6,NA,8,NA,1,3,NA,2,8,4,1,1,20,6,5,12,8,8,8,4,5,22,27,273,130,158,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,7,NA,3,47,2,8,6,1,7,1,NA,5,11,20,10,4,8,21,27,42,17,255,136,237,NA,NA,NA,NA,3,NA,NA,1,NA,NA,5,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,40,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,8,NA,5,2,1,2,3,6,4,NA,6,NA,11,10,8,9,7,18,16,66,39,166,187,223,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,45,1,NA,NA,2,NA,3,NA,1,1,2,4,NA,15,NA,5,22,2,NA,4,3,3,6,9,6,12,30,4,6,12,31,17,42,93,213,160,244,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
